timestamp,duration,status
2026-04-01T16:18:47.127Z,2114.098,not-afk
2026-04-01T16:13:52.040Z,295.086,afk
2026-04-01T16:13:52.040Z,199.903,afk
2026-04-01T16:04:38.449Z,553.606,not-afk
2026-04-01T16:04:38.449Z,55.72,not-afk
2026-04-01T16:04:38.449Z,32.117,not-afk
2026-04-01T15:59:21.337Z,317.12,afk
2026-04-01T15:59:21.337Z,223.899,afk
2026-04-01T15:59:21.337Z,228.916,afk
2026-04-01T15:59:21.337Z,213.875,afk
2026-04-01T15:57:34.298Z,107.054,not-afk
2026-04-01T15:49:45.150Z,469.147,afk
2026-04-01T15:49:45.150Z,389.233,afk
2026-04-01T15:49:45.150Z,399.26,afk
2026-04-01T15:49:45.150Z,399.26,afk
2026-04-01T15:49:45.150Z,384.214,afk
2026-04-01T15:15:23.180Z,2061.984,not-afk
2026-04-01T15:15:23.180Z,121.872,not-afk
2026-04-01T15:15:23.180Z,96.803,not-afk
2026-04-01T14:29:18.329Z,75.497,not-afk
2026-04-01T12:06:58.035Z,7090.228,not-afk
2026-04-01T12:06:58.034Z,0,afk
2026-04-01T11:36:30.997Z,598.804,afk
2026-04-01T11:36:30.997Z,217.631,afk
2026-04-01T11:36:30.997Z,212.625,afk
2026-04-01T10:56:53.240Z,2377.771,not-afk
2026-04-01T10:49:54.918Z,418.321,afk
2026-04-01T10:38:15.766Z,699.166,not-afk
2026-04-01T10:29:12.512Z,543.253,afk
2026-04-01T10:29:12.512Z,277.472,afk
2026-04-01T10:29:12.512Z,287.492,afk
2026-04-01T10:29:12.512Z,272.448,afk
2026-04-01T09:52:38.735Z,2193.791,not-afk
2026-04-01T09:48:15.171Z,263.563,afk
2026-04-01T09:42:38.998Z,336.184,not-afk
2026-04-01T09:34:09.981Z,509.016,afk
2026-04-01T09:34:09.981Z,238.529,afk
2026-04-01T09:34:09.981Z,228.511,afk
2026-04-01T09:30:36.752Z,213.243,not-afk
2026-04-01T09:26:19.247Z,257.504,afk
2026-04-01T09:26:19.247Z,253.354,afk
2026-04-01T09:26:19.247Z,257.504,afk
2026-04-01T09:26:19.247Z,243.338,afk
2026-04-01T09:08:29.968Z,1069.292,not-afk
2026-04-01T09:05:10.892Z,199.075,afk
2026-04-01T09:05:10.892Z,194.098,afk
2026-04-01T09:03:48.321Z,82.58,not-afk
2026-04-01T09:03:48.320Z,0,afk
2026-04-01T08:50:05.027Z,609.529,afk
2026-04-01T08:50:05.027Z,594.49,afk
2026-04-01T08:50:05.027Z,599.5,afk
2026-04-01T08:50:05.027Z,0.015,not-afk
2026-04-01T08:50:05.027Z,599.5,afk
2026-04-01T08:50:05.027Z,609.529,afk
2026-04-01T08:50:05.027Z,584.479,afk
2026-04-01T08:18:42.622Z,601.335,afk
2026-04-01T08:18:42.622Z,265.619,afk
2026-04-01T08:18:42.622Z,265.619,afk
2026-04-01T08:18:42.622Z,255.606,afk
2026-04-01T08:09:17.523Z,565.112,not-afk
2026-03-31T21:26:10.305Z,20.028,not-afk
2026-03-31T21:26:10.304Z,0,afk
2026-03-31T21:12:46.221Z,611.611,afk
2026-03-31T21:12:46.221Z,260.966,afk
2026-03-31T21:12:46.221Z,255.952,afk
2026-03-31T21:11:55.885Z,50.351,not-afk
2026-03-31T21:00:09.549Z,706.335,afk
2026-03-31T21:00:09.549Z,190.679,afk
2026-03-31T19:42:05.465Z,4684.099,not-afk
2026-03-31T19:34:05.191Z,480.273,afk
2026-03-31T19:34:05.191Z,259.59,afk
2026-03-31T19:34:05.191Z,254.569,afk
2026-03-31T19:25:58.287Z,486.916,not-afk
2026-03-31T19:16:13.784Z,584.502,afk
2026-03-31T19:16:13.784Z,263.424,afk
2026-03-31T19:16:13.784Z,258.406,afk
2026-03-31T19:15:49.721Z,24.077,not-afk
2026-03-31T19:15:49.720Z,0,afk
2026-03-31T18:12:48.080Z,609.49,afk
